	review
429	oh no my tweetdeck is malfunctioning :O il have web will its fixd
430	@creamspyder  thanks  you've been quiet lately!
431	im nervous :/ i want @mmilanezi to gimme a bear hug
432	@ACALLPRO -- yeahhh u wasnt thereeeeeeeeeee
433	Beautiful morning here in the mountains
434	work  @britad Yay!
435	off to work for the day
436	@heffabella i dont know u but heeeeeeey  my name is shannn *extends hand* put er there. where u from?
437	catching up on my reading... twitter n BF break
438	Thank you all for the huge response w/ blessings &amp; congratulations for us and Anna... We're indeed a family in church  love that so much
439	Welcome @pbcat #Follow #Freude
440	@mommymuse Thanks for the hint.  http://tinyurl.com/chtx7e.
441	heeey heeey!   about to go read...
442	well i guess it all depends,undergarments.
443	@EidolonNight That's kinda sad. And they're poking me while they're at it. Huh.
444	@SolarAvada - DAMN. LOL ON FRIDAY.? ITS NOW SATURDAY HERE LOL. IM IN AUSTRALIA
445	afternoon. have the first rehearsal with this (extremely talented) singer-songwriter today. wish me luck
446	@RhChestnut .. Guess ol' Tom has another mission impossible ... some of this is like trying to prove innocence .. I didn't get hugged
447	@mrkris really?  dang.. I missed it   *sigh*
448	just arrived at @eurodjangocon, on about 150 fellows i can't see a girl!
449	@charlieskies your vid wont play  x
450	@danachs I am lost. Please help me find a good home.
451	my 6th wedding anniversary today... so lucky to have such a gorgeous wife
452	3500 downloads for quickpwn 3.0b5 with cydia, Thanks for playing
453	@jonsedar I'm jealous. I have so let it slip what with the baby and all. Not sure I could even do a half right now
454	In walmart getting a mothers day card with every other procrastinating guy in chattanooga  slim pickings but got a good one.
455	That's it? It's done already? This is one proof that there's nothing fair in this world.   http://bit.ly/10UEMq
456	is in route 2 da' beach! No sun yet
457	&quot;Stop your twittering&quot; - Maryland cookies #bgt
458	Prism is the MY nEW wEBTOP.. mozilla labs rocks my world...
459	@steven89 I dont have one here - dunno if my mom ever had one or not -
460	Just got caught in the down pour
461	@harisn I love to Read  And i love Film making
462	I have to goto work now ahhh kill me  my life isn't going the way I want it too atm. Ta ta kids x
463	About to take meds I take that percentage back... feeling worse
464	@TRACTAHPULL   I love you
465	Friday Night Magic last night, I lost so bad  I suck at draft
466	but @pennyessex Humira isn't right for everyone. Some respond better to Enbrel. Ask your Rheumy. But not much long-term testing done
467	Mariachi'nin yeni kampanyasi ve beraber gelistirdigimiz Facebook Uygulamasi (Shut The House) Hurriyet'e haber olmus: http://tr.im/msthhh
468	@staceyclarkin More than welcome...would love to do more physically, but family life doesn't allow
469	@allysonrobinson ...as well as bell hooks Teaching to Transgress.  Sometimes I miss teaching &amp; messing with bad system.
470	Beach with ashley
471	why did Reel big fish cover Edna's goldfish
472	@OhSweetNibblets  16 too   crazy about miley and JB and in love with Nick Jonas haha
473	@ashgen sounds good!! Can't wait
474	@Captain_Phatass hopefully you're up before 8, as meeting is at 8
475	misses @laurencarll so much
476	Hahah. Love them!
477	Leaving for work.. 5:30 can't get here soon enough!  hope everyone has a great day!
478	@WorkInColour It was a pain worse then death!  The Dell is just a boat anchor with a power cord or a very ugly paperweight!
479	@Anna_Viola love it! By the way I didn't end up having time to go this week  I'm sooooo sorry! Next week for sure!
480	workin.. still lol i wanted to go to the spring game
481	@idreamofjeanny Chowder is the shit!!!!!!
482	Ouch, my back. Man I'm sick
483	just ran some ACCELA unit tests for the first time in about 2 years... and they failed
484	Strawberry margaritas + baked stuffed shrimp =
485	morrrning! the last day of a random but awesome weekend, gonna round it off in dbar style!  good timezzz.
486	@avinashkaushik how about a new article on finding your YouTube channel stats in your Google Analytics account? Can't find it
487	She got it , ohh baby she got it.SINGAPORE I'm going to rock your city
488	the sun is shinning! im off out!!
489	@BoltClock Hmm, I will hear more.
490	@jessejane looks to be a great morning already!
491	@Keiyaunna OH FACK U GAVE ME POLICE THATS SOME SERIOUSE SHIT
492	@donnyosmond Very excited as we have just booked tickets to Vegas (we live in the UK) can't believe the  price of the show tickets
493	Going to search out areas we would like for our dream home to also home my home based business one day soon.
494	@T_DAHSAR Thanxs hun, you too!
495	@AYEJILLA &amp; @andrewEMT suck at trying to scare people but are good at killing naps.   http://myloc.me/218m
496	@rachikus thankyou
497	Standin in a forest, just got the maddest photos taken
498	@opaque19 I can't do that.  I take it at 11, or I work through it.  Those are my options here.
499	wanted to go to the club...dancing;)..but now iï¿½m tired anyways i have to go to work tomorrow!
500	Vent:  No one cares
501	@lameBIRDIE aw its okay tht happened wid me too..am so glad thts OVER now!am not helpin here am i?!?lol thnx for postin WMIAD  loved it
502	met the shortest line ever at FCB Tunapuna... then the tellers disappeared
503	@MarkMayhew ha! lemme know what you find (tho I suspect it will be a lot of complaints). Have a peaceful night my friend
504	@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
505	@EileenRight What phone do you have -- an old rotary?
506	@maryvictoria did you get fired?  *hugs*
507	@Jinsing what Brody how dare u
508	ughhh. i think my plans are ruined. i was excited too.
509	made a little cover for my iphone.  the birds aren't upside down on the back  http://twitpic.com/67tp9 &amp; http://twitpic.com/67to5
510	Oh and Cali plans are a GO! I might get to see DA too and she's my hero and rocks my socks
511	Just talked to donald faison about next day air. He doesn't understand twitter. And he loves cacee cobb
512	Wishing I made enough money to do whatever I want! Sux... No money in education
513	@rayamartin http://twitpic.com/4wlpv - whooooooooooooa!!!!!!!!!!!! ang ganda ko dito ha!!!  thank you!
514	I loveeeeee to live a - F A S T - pace lifestyle!
515	I think i may have found my next apartment. Just one downfall.
516	@welsh_lottie Not one of my favourite pastimes  This weekend is a long weekend here so Monday I'm off to an Ice Show w/ the G/daughter ;)
517	loves GOSSIP GIRL Episode 23, The Wrath of Con
518	says just passed by to say hi  busy with movie task from school =. = http://plurk.com/p/rozcz
519	@daniellebabeyy babe  ive been aight, urselff?
520	@hanastephenson I sent u a direct message.. there's my mail
521	now i'm in hmv
522	good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn
523	just watched devil wears prada, and i want to live in new york city more than ever. why must i be so poor
524	@britneyxsucks I hope they come
525	what am i doing? what can i do?
526	WOOOOO!! Twitterberry is working again!! Good morning everyone
527	Thanks! carry on the craziness again!!!
528	@photojunkie #avatarcamp photos, perhaps?  lol (just itching to see them!)
529	@sweetpea2809 Nor here... Sad times
530	Drinking coffee....MMMMM.....coffee
531	@polyap POL! Is this song from a new album? I am really missing out on UdD!
532	bout to have dinner with the Homies. T.G.I Fridays takout, headed bak to the spot.
533	@AmbroseChick yeah they got qualifyin in.  This whole race is tape delayed
534	New issue of @olivemagazine in the office...desperately want to flick through but have so much to do. It'll have to wait
535	Good morning guys!  Dont forget: Today is mothers day! Mommy? I LOVE YOU ! Youï¿½re the best &lt;3
536	Such a headache  It's killen me!
537	@nikkidang Yeah I've been going there for the last month!!  SO amaaaazing, I'll bring some back for you
538	@THAREALYUKMOUTH I'd Love to work with you! http://myspace.com/inikco  Tell ur friends to follow me!
539	Is feeling really bad about goofin' on @NinaParkerTMZ not knowing she really wasn't at the meeting! Dang I'm sorry! Me &amp; my big 'ol mouth
540	wants cookie
541	@vickycornell HAPPY MOTHERS DAY VICKY!!!! AND TO ALL THE OTHER MOTHERS WHO READ THIS!!!
542	but I am one in a million
543	has some bad newss
544	@shananaomi yippee, darling girls. Love you sooooo much  and so thrilled you found each other!
545	Why did I agree to work on this gorgeous day?
546	Xfiles disc doesn't work.. Rippin
547	@jackgraycnn catching up on my tweets, I saw AC's promo of your new blog before yours, I knew immediately it would be yours by the title
548	says somebody n e body please!
549	@esoterismo My Dad told me music that has the power to heal the soul. Sure is true of yours
550	@wyclef that's a good sentence
551	Home from school. Out tonight? Probably not
552	spending the night with mom and Tommy.. just ordered Pizza Hut.. yum!
553	is tired but happy the orphanage was wow.. and babysitting was really fun
554	@IvanaF Oh, that would be riveting TV!   Trips to the break room, coffee, toothpicks in the eyes to keep them open.
555	@iancantdecide hey ian.. May 7 din ako..  maybe we'll see each other.. or not.. cuz diff. schools tayo.. hahaha la lang.. :p
556	@TomCopestake  I'm sorry. You'll get there don't worry, one day at a time.  We should 'hang' when you're done.
557	Ugh,what a boring day
558	@Mangowe You're welcome, I am off for some merry noddingtons myself soon. It's not even dark!
559	@TerreMum It's http://chelseavantol.etsy.com xo
560	wonders what some dancers have against glitter? Just don't wear it. Don't create a whiny group about it. Ok, I'm done.
561	@tommcfly Tom are the MITO tour dvd's still being made cos no where seem to be stealing them and i really want a copy
562	@wajeeha i hope you knew its due tuesday
563	@Intelligentle This was at Pitman's down South. It just looks like business is bad all over
564	@kerkat28 i posted it! let me know what you think? theres a really cute cut out in the back too.
565	@TheFeed Your STFU E3 list link is broke
566	Girsl night ! on my way to foam party  No sleep tonight !!
567	is excited about Taylor Swift on wednesday!!!
568	I hate Fallout 3 it keeps making me jump, I'm also low on health, money, ammo and food  don't worry I'll get through it.
569	@Applecored what I do now  anyhoo thanks for the *spank* :-O x
570	@meganwest no we had to go to malibu to find a beach!
571	@GirlUSoCrazy lol girl I cannot stop!!! I am a student, I can't afford $14 a pop eyeshadows. But I am so hooked
572	@KRushtC that's because you've been avoiding me.
573	@afrolicious Chile, I gotta study   But I do hope to catch an art show or sumshin...i need to get out.
574	@islamqa And you as well bro
575	@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it
576	@AyeshaM13 bored in class. I wanna go home.
577	@Willie_Day26 awww man, its nott
578	Celebrated Mother's Day with the best lamb roast lunch followed by a box of Cadbury's shared around the table. It was a wonderful day
579	@FSBigBob He's gonna do it for mothers day  Ever notice Papa looks like Squiggy from Laverne snd Shirley. I love him.
580	Would really like to buy death note 1 &amp; 2 later this week  I loved those movies!
581	@vocabularies i know, don't tell anyone  i dont know if my dad told the famz yet. i think i'm taking it online.
582	@totalgunner Nurofen and marijuana, usually. But I'm lacking the latter currently.
583	Its so windy and raining harder then the day before today   bye bye if the power gos out
584	ugh! looks like it can rain any min now
585	I'm hungry. And single.  heading to the golfing range soon.
586	Hot ramen soup to end a longgg munching night
587	bummed about the softball loss 0-1   These girls are so good at only 12!
588	@lancearmstrong any chance of seeing you at a race in germany? unfortunately hardly any tv &amp; news coverage of cycling here anymore!
589	@ashleymshep yeah girl you betta be on twitter! i miss you. jealous of jen's limo ride
590	Tonight's SNL does not dissapoint. LOL
591	@PaulaAbdul  why canceled your performance on Letterman? i'm So sad because it is less an option for you.
592	@MovieTFan: Well that is just completely lame. I'm sorry dude.
593	@dcorsetto love love love pot psycology. My Friday night treat
594	@donna_grant  Hey Donna, lovely to see you on Twitter.
595	@tommcfly hope you have a nice relaxing day!!! hope your well  wishing you all the best
596	@AshyLBowz - OH FOA REAL.? I DIDNT REALLY KEEP UP WITH WHAT WAS GOING ON. TOO MANY DIFF STORYS N STUFF HEY.  WISH HE NEVA DID IT!
597	@yfeandipoo I'm sooooo excited to see you also love.....let the craziness begin  7 daysssssss YAHOOOO
598	Month end... still stuck in my office waiting for the stragglers to get there s#!t together.
599	Alix's graduation party!
600	@inyourvan Well I guess the McCafe=tastes like shit cured ur craving? You get the McSkillet? Me Wants
601	@hotdogwater dayum.  i dont even remember why i started twittering... oh yea, facebook integration.
602	Goood Dayy  Beeen shopping, didn't get what I wanted though  But my best friend has comeeee homeeee!! XD Ily Shannii x
603	I burnt my arm.  (just thought you should know)
604	Happy Mother's Day to all the moms out there.
605	@goodbyeblueskyy everything okay?
606	goin to bed
607	@davidalexanderm fantastic, love all things Krautrock
608	posted a few pics of my college on my myspace www.myspace.com/katieheidie
609	Bloody servers are down at work for at least 3 hours. Want to go home now!
610	@laydieluck777 damn  real sorry to hear that ma
611	not going out with them. there is another fatty i like and hopefully ill see him in when i'm in cali in 8 days. if hes not upset with me.
612	Saw Wolverine last night
613	@pilgrimfamilyuk oh no I hate that
614	happy birthday to me!!
615	@tommcfly My eyes are starting to hurt! It's getting super late. But I just gotta keep tweeting. Haha! Philippines tour, please, Tom?
616	@Running5k2day Oh no! Hope it's not as bad as it sounds!
617	might go to bed? No nightmares about bad grades tonight please!  Hmm!
618	@mileycyrus voting has closed
619	bad mood and i dont feel good. too bad no one cares
620	Just snuck out my window.. Now im laying on my roof looking at the stars. Its a nice night out tonight.
621	Just found out one of my ankles is swollen...eeks now it hurts
622	@Twiter_ME_This Morning @DonniezDetDiva new profile pic
623	Happy Star Wars Day. MAY THE 4TH BE WITH YOU
624	; Another friday night cancel.  probably movies with just Ashley.
625	im in stats and I'm bored and tireed
626	Tyring to pack for my Aruba trip (soul beach music fest)
627	@chully LOL too bad he's taken!!!!!!!
628	Dad asked me why I was sticking my tongue out while I was ironing, and I told him it was so I didn't burn my finger, as I burnt my finger
629	OMGoodness back to school soon FUN!
630	@nattskies heyy nat! twitter twitter twitter. you'll get used to it hahaha  love youuuuuuuuuuu
631	@prettyrach I am 100% jealous.  wish I had some
632	@glamorousamanda I wish i could have a pole, we got no space for it  maybe i should throw out some furniture and get a pole
633	@ZnaTrainer How are you today!?
634	@codepo8 I must admit when i first saw that name posted i thought it was an exploit attempt
635	working allllllllll weekend..how thrilling..and i have to say bye to goshy on sunday cause she is leaving for poland for 3 months
636	@lorilooker oii oiii  hope the run goes/went well (whenever you get this message!) love youuuuu ?
637	@jordanlyn  Can we turn back time, make it so you didn't hurt your knee so bad.. :'( and then you can come to mine and never be ignored??
638	Yay, I won at the @Jumeau Bags #Giveaway from @InstantShift. And those bags are so pretty!! Or maybe I'll have a belt? We'll see!
639	@keitaeden Sent u a few DM's..Hollaback
640	read twilight and new moon keen to read eclipse and breaking dawn hmm twilight was better then new moon but there still awesome
641	@IYL86 Well yeah, the hormone things basically a given  thought he had misbehaved specifically to upset your mom and you.
642	have to put my dog down tomorrow.
643	looking forward to Ben's baseball game tonight
644	@unknownnunes Goodmorning to you!Thank you so much for being so kind? The sun is out and I'm going to paint outside
645	@vardenrhode thanks.  thing is so much of it is more design-art, which I hardly ever get a go at, therefore never get much better..
646	@drnic and welcome to dk  #jaoo
647	Happy Star Wars Day
648	@charlimillions where r u i? Am wearing a black polkadot dress n green cardigan i cant find u
649	Guess I should have called  See ya.
650	Back from the pub, want more peroni
651	@furlongthedog Welcome to Twitter  I hoped it wouldn't be long before you saw the light and joined us!
652	@missbossy Yeah that's me  I used my initials for my Flickr account!
653	Santana - Maria Maria (The Wraith)  ? http://blip.fm/~7a10a
654	wearing spidey boxers
655	@ksidney wolverine was GREAT!!!  a must see
656	Staging consult ltr 2day in beautiful town of Dundas. X Files filmed episode there once. Think I'll run in2 David Duchovny? Probably not
657	The horror that is Maggie Gallagher is still with me. Such a big ball of ignorance. You can't reason with idiots like that, which sucks.
658	losing weight  check the pic
659	@GregDigneo: Your mail server just rejected a simple, plain reply to you as potential spam/virus threat. Not Good
660	Our neighbors cat died!  I really loved him =(
661	thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU'RE THE BEST MUM IN THE WORLD
662	Sore throat. This is not good. I have four performances this weekend.
663	HAPPY MOTHER'S DAY
664	@lwcavallucci No... we didn't *like* it, we LOVED it!  The tone, the story, the chemistry between the actors/characters, all was perfect.
665	stupid rain, now our picnic is cancelled till tomorrow
666	@paulineee: I know!! Im so excited. We cant go earlierrr than the afternoon?  I love you tooz &lt;3
667	@loic I need to check your TOS, Loic. Are you allowed to sleep? I don't remember any mention of sleep there...
668	I don't want her to leave..
669	had a nice time with juno  http://plurk.com/p/sv71z
670	@djdnice I know!
671	@Draconator its brokey
672	happy mother's day
673	disappointed the didnt win teh glasses.
674	its overcast today again  it looks like it wants to clear up but i doubt it :/
675	@miss_om &quot;If I should paint my fingernails green- oh and it just so happens I do paint them green...&quot;  Marvelous
676	@purplefrogcat wow.. purple leopard skin.  fieeerrceee..
677	Bit devastated that I lost my entire documents folder on my home computer.
678	i didn't wake up early enough to go roller blading  contrary to a tributary, i flow endlessly
679	@itstrizunigs actually, the web works fine. tweetdeck seems to be the culprit  sadness! it's done this at two diff. locations
680	LOL! Made a huge mess of my school shirt, was using charcoal sticks in 2D art
681	at homee..boring but its okiee gonna see the boyfriend and his momma tomorrow for momma dayy
682	@andy2dx Awww boo. Maybe i wont be sober during 3s team at evo. I need to snag someone to be my partner
683	@geehall1 LOL! I had a peek at http://geehall.blogspot.com it's coming along nicely  I totally understand about leaving the set quiet too.
684	Ahh im in love.  hes theeee best.
685	@calvinharris i wannabe in dubai
686	@honorsociety i like it and all butttt your not going to have it at the august 7th concert which hurts my feelers
687	@samsamsammm i miss you!!  stupid work!
688	YawNnnnn _slight headache n hangover grrr
689	At least they ( kids) havnt gotten to big to still say mommy ILOVE YOU. AWWW they are so sweet. I am so lucky to have my kids.
690	I can't help it if I'm a GRAMMAR NAZI!
691	@buglegirl Thanks! I'm not quite ready for a marathon yet -- if at all, not this year anyway.
692	Yaay congrats Shmolan on graduating  I'm proud of you!! Have fun! &lt;3
693	listening to Lily Allen's last album - it's quite good
694	haha i just watch a funny ass video on youtube  made my day
695	@Topify just for a little while.. to get an impression of how twitter-copy-topify
696	If Hamilton gets a hockey team, I really think the name Hamilton should be in the team name. If not, I'll be sad.
697	Finally, a beautiful, sunny day in Atlanta. Too bad I'm stuck inside working...
698	@ProudKiwi missed you by 10 min, haha. went to sleep at 15 past, but had a major anxiety attack around 630 again. ugh.  boo
699	just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
700	@meyen: You MUST watch Grey's. It was their 100th episode. Let me know once you do. I don't want to give out any more details
701	all my worms either escaped or died  bums!
702	@weddingsites Not a problem. I loved that idea, and of course the photos were just perfect!
703	wants to go home and see Erin
704	Looking for a vibrating phone is like trying to find &quot;a feeling.&quot;
705	I hate having to put my toddler in a disposable, but her rash needs ointment. I hate her having a rash even worse.
706	@kelleyviolet That sucks!    It's thundering here.  I'm getting ready to shut down.
707	@Blue_MandM Helaas.. En thanks!
708	Sadly, the time has come to put my mom in a home
709	gotta hit the hay y'all. big day with the kiddos 2maro. i love being a mommy  much love-- lil
710	@smithld I picked up some stuff I missed the 2nd time  And to think you missed all the in jokes too!
711	@XO_SUFI_XO yeah and when you are not working at paying jobs(volunteer/intern) the $ tends to disappear rather quickly...gotta slow down
712	@tifftiff88 what don't be sad?  Be glad. Your 21
713	at work booo....
714	@AngelaRyan jet blue is okay I guess. They cancel flights and don't have a lot of backup planes. And no first class
715	I wish I could get my nails done  stupid job
716	@AmongstStars awee!
717	Oh before I forgot, Happy Star Wars Day! May the Fourth be with you!
718	@JubileeHR When your wife's a teacher, you spend a lot of time indoors.  Trying to take some stress off the admin for May, writing often.
719	@SquishT77 So sorry to hear about your mum.
720	feelin a bit 'dangerous'. off to watch tha vids  http://bit.ly/9X0Us
721	I should be paying my bills and not playing on here.
722	@makikaysantos http://bit.ly/izhdy  here looove.
723	crash in Qmbol
724	@LindzluvsNKOTB I'm not going on the cruise. Wish I was, but I'm just going on vacation. Thanks though
725	time to get ready for work
726	Enjoy your hols  xxx
727	@lukeylukess u were awesome at the bull and bush the other day   cant wait to see u at the loft x
728	Work, work, work and why did I get so tired all of a sudden. @PaulAros , nicole told me you say 'Hi' aww she was so enthusiastic  hi paul
729	is starting her pre europe diet today  goodbye midnight snacks, goodbye iced tea, hello momol. HAHAHAHAHA! http://plurk.com/p/rplpr
730	would some one plese suggest me a great thriller movie
731	@jgooden When you put it that way... it doesn't make much sense, does it?    ROTFL!!
732	@DonGeronimo dear michael sorce, you crack me up! sincerely, me
733	I think my modem failed-having pc withdrawals..
734	not well
735	@ravegabe If you do, I'm sure you'll enjoy
736	Geeze- I'm just wondering what is wrong with some people. I either need to go for a run or go to sleep. Tomorrow should be a fun day.
737	http://twitpic.com/67l90 - @lunawoodcock girrrrrrrrlll i'm going to miss you so bad!!!!
738	@chromasia I saw your tweet minutes before going to lunch.  Decided to skip that today. Thanks for saving me the money  Speedy recovery!
739	@MrPhotographic Happy b-day! Just woke up on this side of Earth, so wishes are bit late
740	in communications class
741	yup, def swine flu. I think it was the sausage.
742	i'm so worn out, this week has sped by soo fast. gonna ask mum if we can go to the movies. i'm desperate
743	Officially Mother Day here HAPPY Mother Day to all the MOMS
744	put my dog to sleep  I love you abby RIP&lt;3
745	@QueenofKong No need 2 apologize mama i respect you for that
746	@JerryShaw lol get some then!!  n give me one too
747	@bestdaeever ooohhh imma need you to get on that asap love you
748	damnnn this day came to fast, but i cherished all the moment i had
749	@LGDADON it makes perfect sense. I guess i am very down to earth. Thanks for your reply
750	@JENakaGorgeousB happy mother's day to your mom
751	@donttrythis that is why I drive a (teeny tiny) honda civic  http://myloc.me/FRy
752	@ragazza_matta take my &quot;how well do you know me&quot; quiz!! i made one the other day... no one took it yet  i put pics from yday on fb xx
753	@gillianre  im not happy im emailin a complaint! haha il hav 2listen again on sunday
754	going to die from study overload this weekend. too much homework, with paying work to interrupt! i'm screwed
755	At work again, when the weather is beautifullll
756	Omg what is up with parents today !  I've been fighting with mine
757	Going to hibernate
758	Oh, ew. That's too bad - after not using this certain lip gloss for a long time I just tried to wear it - literally making my lips burn.
759	goodnight to all.
760	@DJLTHEMASTERKEY i guesss
761	@Tayluvsbroadway yeah  fail times. she was in an accident like a month ago, too, almost same thing. was on the bus on her motorscooter
762	Drivin home and listenin to 50! fucking lightweights! left me stag! bullshit!  love you though  especially you toesha  haha HA!
763	@SmellTheCheese I know, that is so sad.  I
764	@iJanette http://twitpic.com/4wl7x - Very pretty Janette  I have that exact same Hey Monday band!  And its on the same arm :O
765	@MyNC I was wondering....   Have a GREAT weekend!
766	@nicolerichie have you watched Persepolis? Broken English is also nice for sundays
767	@brookstuh am I not good enough
768	Mmmm Ham  Yummy! I have hat hair...Stupid Deli ._.
769	@Sweet_Charlotte We should! There will be another thrown I'm sure but this one will be with my American family
770	@andy_sims do you know of any inside scoop on a station that's anything what kwod was? there's nothing for us now
771	@Personal_Trainr Thanks for the link.  It made me smile
772	i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz
773	mmm mmm mmm! tss tsss tss. LOL, having way too much fun being bored.  i miss him
774	I've been really tough, but it still sucks to live 5000 miles away from your family when you crave for Korean homemade meal.
775	Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went
776	@clairemaxwell i know that feeling way too well - have a nice walk
777	off to work now
778	needs a non-long distance boyfriend/girlfriend. Watching Sonny with A Chance
779	@dahntay OMG that dunk on Dampier was MASSIVE! Big ups!!! Love it...
780	just as i finish checking all my emails, i get 5 more. because like 5 more people are following me on twitter. hi people following me!
781	@rachky @taltalush Yes. I am secure in my masculinity.
782	listening to jubey snoring on the phone  hehe goodnight
783	show time baby! bye bye for now Tweeters
784	its really incredibly gross outside, so im hoping to get alot done int he house today!  including pics on the blog! morning friends!
785	@JustJayde  Make sure ur plantin next to the water in the soil
786	@MelodyLeaLamb Goooood Morning Melody! Wishing you a Wonderful Mother's Day with your family!
787	@kyza holy cute! Dexter has already lost his kitten face  gettin a chunky butt since we got back from qld too haha
788	just finished an exam, every1 else has finished cos I chose i different course to my friends I have one more exam on Thurs next week
789	@assos Eh, it's alright - nowhere near the same quality as a standard keyboard, but still useful!
790	Too much food at today's company gill out, want to go home and lay in the sun. Instead here until dark, probably
791	We actually have milestones due for 3 high profile projects in the next 2 weeks, &amp; they are all scheduled when I am on vacation -
792	@tldn thanks! we want to continue to improve our process for the benefit of customers - things like this just take time
793	Is sad when people's phones are dead
794	uploading some pictures
795	Going to @LittleSkillet for lunch today with @earth2andy. Who's in? I still need to hit the ATM.
796	ah seriously i dont even work with children some how i am still sick!  groundhog friday just got worse.
797	@NovaWildstar Erm yeah watch as it sways and collapses into the river below lol.  Next time you are here we shall have to drag you there
798	iPod touch = brick.
799	@mrpandora I got a headache because of all the hard work today, still not ready, with a #Heineken trying to finished up
800	@PicSeshu there u go
801	Alright gang. Gotta go park with family for an hour. Back then  Mwahs to yu if you head to bed before then
802	@kevincl Same here. But I am just going to browse SA until I get bored.
803	Off to the gym by myself!  no fun!
804	@tommcfly It's 12:30AM, @buonotomato stopped tweeting, my brain's not functioning. I wanna cry. Haha. Philippines tour, please?  Love ya!
805	i was an extra. got ready for work for nothing. studying all night
806	cook ; do you wanna measure my dick? its daddy-size.
807	@infobunny Ouch. Realising how sheltered my upbringing was.
808	3oh!3 on the radio  they were amazing yesterday.
809	Very bummed I can't go to the @shiftworkspace open house today.   DD and I woke up with a stomach bug.  Blech.  Y'all have fun!
810	@shablack I give it 2 snaps down  how's work going?
811	Thumbs up to Wolverine, Taco Bell Cheese Roll-ups, and mothers... you're all the best
812	the kids are going to see up without me.
813	whoa. that was some showering session
814	is watching movies
815	@Georgielockwood IM SORRRYY  i went to the cinema with my broth.. cause im cool.. and yeah im sorrrry  TOMORROW THO, ILL MAKE SURE OF IT
816	My comp is being slo w
817	its sprinkling outside  i hope it doesn't rain during our game ..
818	@arcadecore you wish
819	@murrion nope.. sliverlight is client a side tech
820	@tweetvisor what happened to my real-time feed? Now friend feed is just like the Twitter website
821	gonna have to eat something, I feel so horrid.  I need a hug!
822	@LLCOOLDAVE Trying to fix my background
823	My arms hurt
824	yay new computer to fiddle about with
825	Bears, beets, and... shit, never mind   How about SG1, take-out, and wasabi vodka with ginger ale and lime...
826	@Sammysamsam5 That movie made me cryHARDCORE!!!!!  I loved it...
827	@jocope well, I was under the impression most people have the urge to buy new sofas  To be fair, we're not tiling, we have a man for that
828	@spinallhead Bom dia, Uï¿½tisson!
829	yeah.... and im gonna take ur picture off my ipod baby..
830	I don't remember what i text to twitter to get a list of commands  halp
831	Be beautiful        http://www.theskinsociety.com
832	@RealHughJackman You were absolutely amazing in the Wolverine  you're sooo beautiful !! you're also such an amazing person, i look up to u
833	@JamaicaPanama I'm here if ur here for me!
834	Sorting out Twitter issues....very frustrated that you can't talk to someone and they respond slowly to issues - capacity the challenges
835	wow the last hour of twittering that I've been doing has yet to be sent over to twitter..  guys bare w me...
836	cant wait to get home. i hate my job
837	@bigcitysomeone  I wish I could go. See ya at Warped for sure tho!
838	@saranw Thank you! You should know that I am both happy and sad (all at the same time) to know that. You've got &quot;The Right Stuff&quot;
839	@MIssKatherine Omg granddads bday was epic lol. &amp; no i havent heard anything yet so i dont think
840	http://twitpic.com/4wah5 - haha that's right
841	@Drob114 thanks for rubbing it in, jerk  where are you guys going this weekend?
842	@perze my gut feel says its gonna be a boy ababa
843	its really hot out today  being hairy is gay
844	http://twitpic.com/66vld - i don't like this bangs! I want my hair back!
845	the week just wasnt the same without an adam lambert performance!!!
846	Just finished weeding the flower bed. Why is it the weeds grow so well but legitimate plants hate me?
847	@selenagomez Hey selena, i'm your brazilian fan, and i love you so much. you're my inspiration, please, reply me
848	@Pink congradts on ur show  Even tho i wasnt there lol
849	Dizzy  I wanna lie die, but those calories aren't gonna just balk because I ignore them.
850	It wasn't a good day ..
851	@CHRISDJMOYLES Sorry to spoil it but he didn't this time
852	Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara
853	says np- Because of You -- Ne-Yo  (music) http://plurk.com/p/svm3r
854	Picture Day for 3 YO preschooler. Light blue striped utton down and kahkis.  Wonder what color they will be when I pick him up in 3 hours
855	@kiitzyy I think so hahah geez lady 3 hours ago?? Go to bed!! Lack of sleep is bad for your skin!
856	Kristen i miss you
857	@kevinriley Heh, thanks for that adorable plug  *cough* more info at: www.samstephens.com *cough* *cough*
858	@TDRFarmer Are you going to the game tonight? There is so much excitement today that I'm feeling left out. Have other plans
859	Livin on ur own iznt nice at all. I miss my mum
860	Reached Bangalore!! Now gotta hunt for rooms
861	Have lots 2do as usual! laundry, thanking God, cleaning house, praising God, cutting the hedge and thanking and praising God some more!
862	@atlteabagged ur not blind  i was just browsing &amp; saw ur tweet &amp; figured i could answer ur query plus i wanted to know too
